Year,PRT,ESP,FRA,ITA,GRC,DZA,AUT,BGR,HRV,CYP,CZE,EST,FIN,DEU,HUN,LVA,LBN,LTU,MAR,NLD,MKD,NOR,POL,ROU,SRB,SVK,SVN,SWE,CHE,TUR,UKR
2014,9 388,9 771,1 730,3 257,552,4629.0,146.0,151.0,43.0,68.0,865.0,91.0,1660.0,429.0,1042.0,698.0,,155.0,460.0,,62.0,133.0,5245.0,83.0,23.0,153.0,35.0,4374.0,60.0,2149.0,1486.0
2015,19 643,11 928,2 898,5 442,510,2383.0,280.0,429.0,177.0,87.0,1748.0,67.0,745.0,1071.0,1069.0,704.0,107.0,247.0,425.0,,106.0,29.0,12257.0,250.0,68.0,242.0,93.0,2700.0,166.0,2150.0,2225.0
2016,16 104,8 817,2 775,5 818,777,3150.0,141.0,584.0,151.0,119.0,892.0,84.0,933.0,608.0,452.0,641.0,260.0,98.0,422.0,,60.0,345.0,5286.0,174.0,45.0,136.0,90.0,5454.0,82.0,3188.0,945.0
2017,21 006,13 793,3 220,7 855,1 083,2992.0,278.0,513.0,329.0,92.0,966.0,61.0,881.0,424.0,1454.0,423.0,92.0,80.0,433.0,321.0,301.0,264.0,3592.0,447.0,222.0,162.0,108.0,5276.0,110.0,2411.0,2371.0
2018,12 274,7 143,1 634,3 220,793,797.0,174.0,222.0,54.0,131.0,2033.0,230.0,2427.0,1708.0,530.0,972.0,41.0,211.0,343.0,949.0,19.0,887.0,8867.0,158.0,62.0,262.0,32.0,8181.0,153.0,2167.0,1297.0
2019,10 832,10 883,2 949,4 351,657,2278.0,244.0,668.0,123.0,99.0,1963.0,143.0,1458.0,1523.0,2088.0,1107.0,194.0,279.0,529.0,548.0,251.0,261.0,9635.0,425.0,189.0,210.0,84.0,5483.0,79.0,2688.0,1261.0
2020,9 619,7 745,2 760,4 865,1 060,3493.0,234.0,499.0,142.0,108.0,2081.0,24.0,1260.0,1360.0,1239.0,581.0,251.0,157.0,514.0,724.0,48.0,609.0,6627.0,627.0,81.0,221.0,120.0,5305.0,78.0,3399.0,2598.0
2021,8 186,8 780,2 332,5 989,1 250,1631.0,164.0,349.0,116.0,111.0,1517.0,32.0,1231.0,548.0,1154.0,448.0,131.0,46.0,435.0,212.0,113.0,653.0,3295.0,278.0,75.0,101.0,73.0,4087.0,85.0,2793.0,659.0
2022,10 390,10 507,4 215,6 529,962,1607.0,217.0,516.0,245.0,89.0,2473.0,26.0,1129.0,2397.0,2731.0,369.0,22.0,81.0,499.0,916.0,50.0,1275.0,6999.0,1021.0,66.0,297.0,217.0,5189.0,115.0,2160.0,1098.0
2023,7523,7 748,2 666,4 265,941,,119.0,448.0,48.0,131.0,1512.0,33.0,1346.0,1059.0,675.0,571.0,23.0,167.0,466.0,405.0,104.0,1251.0,4908.0,170.0,33.0,55.0,40.0,4744.0,144.0,2579.0,593.0
2024,6255,6134,1452,3784,981,,595.0,106.0,106.0,121.0,1284.0,25.0,1260.0,563.0,582.0,222.0,,110.0,382.0,222.0,250.0,776.0,5857.0,728.0,186.0,186.0,49.0,2867.0,46.0,3797.0,1993.0
