year,country_code,country,burnt_area_ha,nr_fires,severity,avg_fire_size_ha,decade,risk_score,crisis_type,region,summary
1994,TUR,Turkey,30828.0,3239,HIGH,9.52,1990,0.087,wildfire,Southern Europe,"In 1994, Turkey recorded 3239 forest fires burning 30828 hectares. Severity: HIGH. Average fire size: 9.52 ha. Risk score: 0.087. This was a high severity wildfire event in 1990s Europe."
2019,SWE,Sweden,1233.0,5483,LOW,0.22,2010,0.084,wildfire,Northern/Eastern Europe,"In 2019, Sweden recorded 5483 forest fires burning 1233 hectares. Severity: LOW. Average fire size: 0.22 ha. Risk score: 0.084. This was a low severity wildfire event in 2010s Europe."
2014,SWE,Sweden,14666.0,4374,MEDIUM,3.35,2010,0.084,wildfire,Northern/Eastern Europe,"In 2014, Sweden recorded 4374 forest fires burning 14666 hectares. Severity: MEDIUM. Average fire size: 3.35 ha. Risk score: 0.084. This was a medium severity wildfire event in 2010s Europe."
2016,SWE,Sweden,1288.0,5454,LOW,0.24,2010,0.083,wildfire,Northern/Eastern Europe,"In 2016, Sweden recorded 5454 forest fires burning 1288 hectares. Severity: LOW. Average fire size: 0.24 ha. Risk score: 0.083. This was a low severity wildfire event in 2010s Europe."
2014,POL,Poland,2690.0,5245,LOW,0.51,2010,0.082,wildfire,Northern/Eastern Europe,"In 2014, Poland recorded 5245 forest fires burning 2690 hectares. Severity: LOW. Average fire size: 0.51 ha. Risk score: 0.082. This was a low severity wildfire event in 2010s Europe."
2020,SWE,Sweden,821.0,5305,LOW,0.15,2020,0.081,wildfire,Northern/Eastern Europe,"In 2020, Sweden recorded 5305 forest fires burning 821 hectares. Severity: LOW. Average fire size: 0.15 ha. Risk score: 0.081. This was a low severity wildfire event in 2020s Europe."
2016,POL,Poland,1451.0,5286,LOW,0.27,2010,0.081,wildfire,Northern/Eastern Europe,"In 2016, Poland recorded 5286 forest fires burning 1451 hectares. Severity: LOW. Average fire size: 0.27 ha. Risk score: 0.081. This was a low severity wildfire event in 2010s Europe."
2017,SWE,Sweden,1433.0,5276,LOW,0.27,2010,0.081,wildfire,Northern/Eastern Europe,"In 2017, Sweden recorded 5276 forest fires burning 1433 hectares. Severity: LOW. Average fire size: 0.27 ha. Risk score: 0.081. This was a low severity wildfire event in 2010s Europe."
2007,BGR,Bulgaria,42999.0,1479,HIGH,29.07,2000,0.08,wildfire,Northern/Eastern Europe,"In 2007, Bulgaria recorded 1479 forest fires burning 42999 hectares. Severity: HIGH. Average fire size: 29.07 ha. Risk score: 0.08. This was a high severity wildfire event in 2000s Europe."
2009,UKR,Ukraine,4575.0,4922,LOW,0.93,2000,0.08,wildfire,Northern/Eastern Europe,"In 2009, Ukraine recorded 4922 forest fires burning 4575 hectares. Severity: LOW. Average fire size: 0.93 ha. Risk score: 0.08. This was a low severity wildfire event in 2000s Europe."
